Communicable,Injuries,0.772124344
Communicable,Communicable,1
Communicable,NonCommunicable,0.616919489
NonCommunicable,Year,0.018499609
NonCommunicable,Life Expectancy World Bank,0.047623244
NonCommunicable,Prevalence of Undernourishment,-0.050077533
NonCommunicable,CO2,0.819501668
NonCommunicable,Health Expenditure %,-0.035946528
NonCommunicable,Education Expenditure %,-0.085045363
NonCommunicable,Unemployment,-0.080876393
NonCommunicable,Corruption,0.105828593
NonCommunicable,Sanitation,-0.001961895
NonCommunicable,Injuries,0.952276991
NonCommunicable,Communicable,0.616919489
NonCommunicable,NonCommunicable,1
